territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Argentina,USER_9cfb56ed29,"Tarde 16 minutos desde que se liberó la venta de entradas en comprarlas, literalmente dios me tocó con la mano y me bendijo {{URL}}",Compra de entradas,CONSUMO,"Consumo, tecnología y compras"
Argentina,USER_9cfb56ed29,Loving him is like driving a new Maserati down a dead-end street,Reflexión romántica,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,Desde que vivo sola nunca más volví a cerrar la puerta del baño para usarlo and i think that’s beautiful,Vida independiente,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_9cfb56ed29,Estres 🤝 Dolor de espalda,Malestar físico,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_9cfb56ed29,CHICOS !!!!!!!!!!!¡¡¡,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_9cfb56ed29,"Al final no era que estaba deprimida, era que vivía en {{LOCATION}}",Insatisfacción con el lugar,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_9cfb56ed29,Tolerancia cero a la gente pelotuda,Opinión social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,"Yo: *me hablo con alguien*
Mi mama: y cuando se van a poner de novios?? ;);););)",Interacción familiar,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,Pensando en lo bien que estoy sola llegue a una conclusión: que lindo es no tener a nadie que te rompa las pelotas🙏🏼,Apreciación de la soltería,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,"Me importa un pingo tu signo zodiacal, tenes la green card si o no?",Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_9cfb56ed29,Lo que me sorprende además del GESTAZO es que conozca lo que es el agua micelar!!!!! Donde uno así barba,Relaciones y expectativas,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,"And I’ll be smart to walk away, but you’re quicksand",Reflexión romántica,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,Tome tanto sol que me duele la cara jsjdjss estos son los problemas que quiero tener toda mi vida,Experiencia personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_9cfb56ed29,Me di cuenta que tengo un ideal de hombre que es inexistente así que probablemente me quede sola por el resto de mi vida 🥲,Reflexión romántica,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,Pocas cosas me hacen tan feliz como ver un lindo atardecer 🙌🏼🤩,Apreciación de la naturaleza,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_9cfb56ed29,"Hello Mr. Perfectly fine, how's your heart after breaking mine?",Desamor,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,Me duele la espalda no importa cuando leas esto,Malestar físico,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_9cfb56ed29,Hay personas que te renuevan las energias🙏🏼,Interacciones sociales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,No puedo creer que en algún momento de mi vida permití que un hombre me dijera las cosas que podía hacer o no en mi vida y encima ESCUCHARLO,Reflexión sobre relación pasada,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_9cfb56ed29,Ibu 400 y a seguir as a lifestyle,Manejo del dolor,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_7adf27faaf,"{{PERSON}} va hacer 4 años y 3 meses que nos conocemos, nos alejamos muchisimas veces, peliamos  discutimos, pero hoy puedo decir que estoy feliz por tenerlo conmigo y por apoyarme siempre que lo necesito😍",Relación personal,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,"le envidio el hermoso cuerpo que tiene, que hermosa mina🔥❤",Admiración física,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,le contamos a mi abuela que mi vieja esta embarazada y se largo a llorar de la emocion porq no se lo esperaba😍,Noticias familiares,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,"mi hermano tira tweet como que tiene una vida de mierda y nada que ver, quiere llamar la atencion nomas porque aca en mi casa no le falta nunca nada, es un verga por como le paga a mis viejos dan todo por el y el sale a falopiarce nomas. corta😘",Conflicto familiar,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,"yo no lo puedo creer, muero de felicidad si es verdad💗💗💗",Alegría,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,le voy a regalar un litro de cloro a ver si se puede desinfectar el cuerpo con la mugre q tiene,Agresión verbal,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,"lo bloquie a la bosta, q se olvide",Bloqueo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,"mejor me voy a dormir sola, que se vallan todos a la mierda",Frustración,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,no estoy llorando se me metio un te necesito en el ojo.,Anhelo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,mañana a la tarde voy a la casa😍,Planes sociales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,{{PERSON}} descargarme con {{PERSON}} es todo lo que si mi amiga,Amistad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,"que lindo hablar con alguien que no podes salir de chat porque te responde al segundo, todo lo que esta bien🙌",Interacción online positiva,MEDIOS,"Medios, redes sociales y comunicación digital"
Argentina,USER_7adf27faaf,ay esta calenchu ajajajjajajs,Flirteo,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,me quedaea bien el rubio?,Apariencia personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,tengo ganas de irme a dormir con el🙌,Deseo íntimo,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_7adf27faaf,extraño a {{PERSON}} que quieren que les diga🤷‍♀️❤,Nostalgia,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,"tengo ganas de levantarme cambiarme e irme de mi abuela, pero hace tanto frio que me da pena salir de mi cama",Pereza,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,"{{PERSON}}, agustin y {{PERSON}} ya se pusieron a limar free🙄",Ocio,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_7adf27faaf,me tengo que levantar para irme de {{LOCATION}} con mi flia y ni ganas😩,Desgano,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_7adf27faaf,ya me puse de mal {{PERSON}},Malestar emocional,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_7adf27faaf,esto que hace es de {{LOCATION}}🤦‍♀️ na si yo me agarro a cada uno.,Confrontación,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,qué lindo arrancar la semana así 💖,Sentimiento positivo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_19469b5c13,{{PERSON}} y peso pluma sacaron un tema que me parte el alma 🫠,Música,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_19469b5c13,qué paz se siente cuando ya no buscas más dónde sabes que no hay nada para vos,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_19469b5c13,"hace dos días no fumo marihuana ni cigarrillos.

tengo compañeros del laburo que me quieren y me invitan a hacer cosas {{PERSON}} saben que no estoy bien, mi abuela y mi mamá están siendo un pilar increíble, tengo salud, trabajo en blanco y la tranquilidad de saber lo que soy",Auto superación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_19469b5c13,apenas cobre me compro la moto ❤️‍🩹,Planes de compra,CONSUMO,"Consumo, tecnología y compras"
Argentina,USER_19469b5c13,qué onda agosto? TODOS LOS CORAZONES ROTOS,Comentario social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,"44 horas extras hasta ahora en lo que va del mes , 2 sábados y un feriado 

se viene lindo sueldo",Trabajo y finanzas,ECO,"Economía, empleo y vivienda"
Argentina,USER_19469b5c13,estoy a 5 cuadras de dónde fui muy feliz,Nostalgia,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_19469b5c13,"a veces me gustaría decir tantas cosas pero me tengo que callar para que no me odien, {{PERSON}} nadie se aguanta la vdd cuando se la dicen en la cara",Dilemas de comunicación,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,"valoren lo que tienen , porque no lo pueden tener más de un día para el otro y es muy triste",Reflexión sobre la vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_19469b5c13,aguante San licha y cobe,Intereses personales,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_19469b5c13,{{PERSON}} {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_19469b5c13,yo el lunes,Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_19469b5c13,✨ {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_19469b5c13,me había ilusionado con dormir acompañado hoy 😔,Soledad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,"últimamente estoy pensando muchísimas cosas que me gustaría plantearle a mi novia para que nuestra relación sea mejor, pero a veces no encuentro las palabras para hablar de la mejor manera",Relaciones románticas,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,los que me tocan de equipo en el Mobile Legends,Videojuegos,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_19469b5c13,"es preocupante qué mi novia no me responda hace más de 3 horas, qué dicen? se estará durmiendo la siesta de su vida?",Relaciones románticas,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,"tiene una gordofobia esa pelotuda, o fue gorda de chica o los odia de onda. 

cuando se va la boluda esta?",Crítica social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,"me mandaron al psicólogo recién, hermosa forma de arrancar la mañana 🤪",Consulta profesional,SERV,"Servicios públicos, administración y derechos sociales"
Argentina,USER_19469b5c13,"qué paja es tener que andar explicando las cosas que pasan, las personas no se dan cuenta de sus acciones o son muy egoístas para darse cuenta por ellas mismas? 
🤪",Frustración interpersonal,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_19469b5c13,"yo? clasifiqué a este quinto, y lo ví desde el escenario a TODOS los minutos épicos que tiró acru ese día , y lo mejor fue verlo contra el Klan siosi",Eventos y logros personales,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_cd8c51b857,VIVAN Y DEJEN VIVIR ❤,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_cd8c51b857,"No. {{PERSON}} todo acá, porque no lo pense antes a esto? 😊😊",Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_cd8c51b857,Necesito el abrazo mas grande del mundo.,Búsqueda de consuelo,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,{{PERSON}} es lo peor del mundo.,Crítica personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_cd8c51b857,Acá hay lloreria? Digo para mandarlo ahí 😂,Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_cd8c51b857,Quiero ser feliz falta mucho?,Búsqueda de felicidad,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_cd8c51b857,"Los viernes jajaja {{USER_MENTION}} {{USER_MENTION}} #juanga, #{{PERSON}}, #franco😂😂",Ocio,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_cd8c51b857,{{USER_MENTION}} lo linda que es y lo mucho que vale❤,Elogio a tercero,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,{{PERSON}} faaavooor,Petición,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,Yo mil 😔,Sentimiento personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_cd8c51b857,Soy la única pelotuda que perdono una guampa? Y sigue aguantando hasta lo peor? No me contesten.,Problemas de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,"Antes no me afectaba en lo más mínimo que me digan, encima de fea estas por desaparecer de flaca. Ahora si, me afecta y mucho!",Autoestima,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,Todo vuelve. Todo.,Filosofía de vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_cd8c51b857,Que no que soy yo? 😂😂😂 {{USER_MENTION}} {{USER_MENTION}},Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_cd8c51b857,Tendría que ser artista la loca. Me acuerdo las veces que se agarraba el pecho y lloraba como criatura cada vez que la dejaban. Dios mio .......,Comentario sobre terceros,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,"Es verdad cuando décimos, algunas minas no nos quieren, porque no nos conocen. Porque después nos escriben hasta para salir con nuestro grupo 😂😂❤❤.",Relaciones sociales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,"Convengamos q después esta pini, la típica amiga que va a sacar de donde no tiene para ayudarte, q va a dejar de comer ella por darte a vos. Que jamás te va a dejar sola, pase lo q pase. Esa amiga q te abre los ojos y a la vez te da un abrazo para q llores.vale oro lo juro ❤",Amistad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,"Sali para dejar la bolsa basura en el canasto, con las galletitas que estaba comiendo. {{PERSON}} la bolsa de galletitas y volví con la basura 😂😂😂 lpm",Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_cd8c51b857,Si tengo 2 amigas es mucho. Pero valen la pena❤,Amistad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,{{PERSON}} hasta no dar más♡,Disfrute,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_cd8c51b857,A mi amiga la llevan a comer así todo enamorados 😍😍😍.,Relaciones de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_cd8c51b857,{{PERSON}} espera que yo prenda la luz {{USER_MENTION}} 😂,Humor,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_956204cb53,"RT {{USER_MENTION}}: Soy una mujer que trabaja, gana su dinero y resuelve. {{PERSON}} voy a querer a un hombre que resuelva el doble o triple de…",Expectativas de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: cualquier plan q involucre un termo y un mate me parece un planazo,Mate y ocio,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_956204cb53,"RT {{USER_MENTION}}: No todos los países pueden ver su bandera en el cielo. 

FELIZ DIA 🇦🇷 {{URL}}",Orgullo nacional,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Soy quien soy porque incluso en el momento más traumático de mi vida me levanté al día siguiente y actúe como si nada pasara,Resiliencia personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: q difícil es dormir cuando la cabeza no para de hablar,Insomnio,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: {{LOCATION}} y maratón de películas en días lluviosos y nublados.,Cine y ocio,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_956204cb53,"RT {{USER_MENTION}}: No voy a romantizar el desinterés, merezco a alguien que me ame intensamente y me lo demuestre todos los días.",Expectativas románticas,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: mi fantasía sexual es ver las auroras boreales en {{LOCATION}} con el amor de mi vida,Deseo de viaje romántico,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,"RT {{USER_MENTION}}: a esta etapa d mi vida la llamo: ni idea, sólo tomo mate y hago lo q puedo",Reflexión vital,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_956204cb53,"RT {{USER_MENTION}}: {{LOCATION}}, mates y viajar a cualquier lado {{URL}}",Deseo de viaje,MOV,"Movilidad, transporte y espacio urbano"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Yo fingiendo estar bien con una situación que claramente me está afectando {{URL}},Ocultamiento emocional,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Lo más hot que un hombre puede hacer es demostrarte cuánto te extraña.,Atracción emocional,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_956204cb53,"RT {{USER_MENTION}}: {{LOCATION}} hasta que llegue al que no le tengo que pedir nada, porque todo le nace.",Expectativas de pareja,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Creo en los reencuentros y en las vueltas que da la vida.,Reflexión sobre el destino,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Que lindo sería tener por las noches a alguien que me abrace y me haga mimos hasta dormirme,Deseo de intimidad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: lo que todos necesitamos {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Hay gente a la que nunca le pusieron los partidos del mundial en el colegio y eso se nota.,Cultura popular,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_956204cb53,"RT {{USER_MENTION}}: monogamia, risas, besos, caricias, viajes e intensidad, es mucho pedir???",Deseos de relación,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Yo me considero millonaria cuando no existe ningún vínculo que altere mi sistema nervioso.,Bienestar emocional,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: {{LOCATION}} y maratón de películas en días lluviosos y nublados.,Cine y ocio,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_956204cb53,RT {{USER_MENTION}}: Esto y que nadie nos moleste {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_c6f7494b12,Q ganas de conocer gente nueva dios,Deseo de socializar,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,Que ganas de sentirme linda,Autoestima,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,El truco está en darle a cada persona la misma importancia que te dan,Consejo de relaciones,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,"Ojalá todos tengan a una persona en quién confiar, poder contarle todo y a toda hora, que no te juzgue por nada, que te aguante con todas las crisis existenciales y que te haga cagar de risa en medio de una llorada . {{PERSON}} no te vayas nunca {{USER_MENTION}}",Valoración de la amistad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,Como me aburre la gente mentirosa diosssss que paj,Crítica social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,Que feo es ver algo que no querías ver,Decepción,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,Todas maquillándose y yo todavía no agarro ni el peineeeee,Rutina personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,Por finnnnnn una buenaaaaaaaa,Noticia positiva,OTROS,Otros temas o contenido ambiguo
Argentina,USER_c6f7494b12,El día 😍☁️,Apreciación del entorno,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_c6f7494b12,La gente no cambia nunca,Pesimismo social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,Alto embole,Aburrimiento,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,Estoy indignada porque mi hermana no quiere venir a tomar mates conmigo y comer mantecol. Dale MALA,Queja personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,Tremenda noche 😍,Experiencia positiva,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,"La vida es como un círculo, queridx, todo vuelve y se devuelve",Reflexión de vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,Necesito mil kilos de helado,Antojo de comida,CONSUMO,"Consumo, tecnología y compras"
Argentina,USER_c6f7494b12,Soy felizzzzzzzz por fin 👩🏽‍⚕️❤️✨,Felicidad por logro,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,Cuántas veces te habrás sentido poca cosa solo por estar esperando que te valorara  la gente equivocada,Reflexión sobre autoestima,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,"A los que juegan a perderte, dejalos ganar",Consejo de vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,{{PERSON}} necesito que me abracen fuerte y no me sueltennn,Necesidad de afecto,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,Sos capaz de lograr lo que sea si tu entusiasmo no tiene límites.,Motivación personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_c6f7494b12,Nadie descuida lo que le importa,Reflexión interpersonal,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_c6f7494b12,"Nunca me voy a dejar de preguntar qué onda los que se creen mejor por ir a ""química""o ""electricidad""  viejaaaaaaaa para un poco, vas al secundario nomás después hay que ver el que estudia  y se recibe jajajajaja",Crítica a la superioridad,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_094646ddcb,NO PUEDO CREER A QUIEN ME CRUCÉ {{URL}},Encuentro personal,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_094646ddcb,Soy ese,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_094646ddcb,Conocí una piba en {{LOCATION}} y la invité a merendar y se pidió EMPANDAS CON CAFÉ!!! ustedes pueden creerlo?? {{URL}},Anécdota social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_094646ddcb,"Hace menos de 1 año pasaba de los mejores cumples de mi vida y ahora es TODO tan distinto, lo fácil que puede cambiar el camino",Reflexión sobre cambio,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_094646ddcb,{{URL}} stream on,Transmisión en vivo,MEDIOS,"Medios, redes sociales y comunicación digital"
Argentina,USER_094646ddcb,Primer mes del año en el cual puedo decir que estoy feliz loko,Estado de ánimo positivo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_094646ddcb,"Definitivamente, vencido hasta la semana que viene.",Cansancio / estrés,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Argentina,USER_094646ddcb,Fui todo lo que podía ser y con eso estoy contento,Auto-aceptación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_094646ddcb,hermoso día,Clima / entorno,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_094646ddcb,Si supiera lo virgen que soy kjjj,Humor personal,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_094646ddcb,"Por qué tan poca fe al muchacho {{PERSON}}, el loco es mega disciplinado, va a llegar muy bien al día de la velada.",Comentario sobre evento,OTROS,Otros temas o contenido ambiguo
Argentina,USER_094646ddcb,{{PERSON}} mal tirando esta chicos? {{URL}},Crítica / opinión,OTROS,Otros temas o contenido ambiguo
Argentina,USER_094646ddcb,"Hoy voy al next de {{PERSON}}, no estoy preparado para los jijeos",Anticipación social,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_094646ddcb,"Todos hablan de dejarse el pelo largo, pero los que nos estamos quedando PELADO que?",Humor sobre apariencia,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_094646ddcb,Qué lindo cuando después de tanto empiezan a salir las cosas bien,Optimismo / logros,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_094646ddcb,{{PERSON}} muchachos.,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_094646ddcb,Es mejor estar sorprendido que decepcionado a esta altura,Filosofía de vida,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_094646ddcb,El prime será LEGENDARIO,Expectativa de futuro,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_094646ddcb,"{{PERSON}} alguien sabe que mierda pasó con los mosquitos, el año pasado rompían las pelotas todos los días y ahora no vi ni uno",Observación ambiental,TERR,"Territorio, identidad local y comunidad"
Argentina,USER_094646ddcb,"Ayer prendí con el extensible y los primeros 30 minutos un wacho tirando banda de bots, después el OBS cerrándose de la nada 2 veces, posta hay veces que pienso que tengo una macumba atrás pero gracias por bancar la toma a pesar de esas cagadas",Problemas técnicos / streaming,MEDIOS,"Medios, redes sociales y comunicación digital"
Argentina,USER_094646ddcb,monogamia patria y familia viejo nomas,Valores tradicionales,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_094646ddcb,Como me gustaria hacer DS hablando gilada en STREAM con gente piola,Deseo / hobby,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_ad85094f95,Mi maldita manía de emcariñarme con gente que vale una mierda !,Decepción interpersonal,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_ad85094f95,{{URL}} ❤{{LOCATION}} mi vida estuve buscándote ...{{USER_MENTION}} {{USER_MENTION}},Romance y afecto,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_ad85094f95,"Que te digan no entiendo cómo estás tan tranquila ?  No , no lo estoy,  pero pa que seguir insistiendo en gente que le importo un carajo  , corta !",Frustración interpersonal,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_ad85094f95,{{PERSON}}😎,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_ad85094f95,"Estoy en el hospital de {{LOCATION}}  y escucho algo q me encanta, una voz única "" toda mi vida estuve buscándote ""  te dice algo ?? Te amo Manu ❤️ {{USER_MENTION}} {{USER_MENTION}}",Música y afecto,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_ad85094f95,"Por Dios no me puedo levantar de la cama , pero el hambre me hace dudar 🤣",Humor cotidiano,HUMOR,"Humor, memes y contenido lúdico"
Argentina,USER_ad85094f95,Que hermosaa canción {{USER_MENTION}} ❤️,Música,OCIO,"Cultura, ocio y entretenimiento"
Argentina,USER_ad85094f95,Era tan grande nuestro amor que la envidia nos separó !,Relaciones pasadas,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_ad85094f95,"ay canté Alas rotas , cientos de kms  rumbo a misiones en moto , inclusive bajo la lluvia 400 nomás jaja ,hace un par de años y vos siempre acompañándome  {{PERSON}} ❤️{{USER_MENTION}} {{USER_MENTION}}",Nostalgia y viajes,MOV,"Movilidad, transporte y espacio urbano"
Argentina,USER_ad85094f95,🤔,Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_ad85094f95,{{PERSON}},Contenido no interpretable,NOINT,Contenido no interpretable
Argentina,USER_ad85094f95,Quiero borrarte de mi cabeza y mi corazón y no sé cómo ...,Desamor y superación,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_ad85094f95,No sabes cuánto extraño tus besos ...,Afecto y añoranza,REL,"Relaciones personales, afectivas y vida social"
Argentina,USER_ad85094f95,Una parte de mi te sigue extrañando ...,Añoranza,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Argentina,USER_ad85094f95,Yo y mi extraña manía de ayudar a quién nunca me ayudaría .,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
